"0","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","AF4QC06IUHLB3","Great for iPhone 5S","Easy to &#34;install&#34; and remove (unlike trying to get an Otterbox off), looks great, not too bulky, and there's not even a scratch on it yet. The buttons aren't too stiff. Very happy with this purchase overall."
"1","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","A1JHA2VEF3H1V3","High Quality Case","Good, high quality case.  A little pricier than some of its competition, but I have no complaints about the case itself."
"2","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","AIW4J2EH8XWH","manly yes, but I like it too!","it's nice & sturdy without being too bulky.Slippery enough to slide into a pocket, but with enough texture that it doesn't slide off the car console.  Perfect for my husband!"
"3","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","AYYWOV7H0LSPK","Best Case Ever!","Good case and really affordable too comparing to the ones in the Apple Store. I dropped my new iPhone 5S a few times right after I bought this. Glad I did!"
"4","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","ASNA1MBD83CHQ","Awesome case","This case is amazing, the design is so much better than otterbox. I ordered a second one for my sister."
"5","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","A3MTCMWO2GMX7D","Love the case","Love the case...very nice looking, lots of compliments from others...have not dropped it so I don't know how well the overall protection.It fits well in my hand and so far, it's been great.  no problem with scratches.  Would recommend to others.."
"6","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","A3V0USYMKYDGF1","Excellent case for my 5S","This case met all my expectations. It fit my phone perfectly.  It combines sleekness and toughness in one package.  I have dropped my phone a few times and this case protected it as well as I was hoping it would."
"7","XX","B00DMKGPP4","3.0","0","0","December 6, 2013","A2EEXR3CCX7B2G","Meh.","I bought this for the iPhone 5.  The case is very thin and light if you like that sort of thing.  I personally found that the phone with this case didn't feel &#34;substantial&#34; enough, so I actually bought a heavier case that I prefer.  But if you like the minimalist thing, then this will be a good case for you.  On the downside, the hard backing is actually pretty flimsy and pops off without too much effort.  I think the name &#34;tough armor&#34; is misleading.  Fits nice and snug on the phone though, so there's that."
"8","XX","B00DMKGPP4","5.0","0","0","December 6, 2013","A1GZOYIJ6ZFJQM","Exactly what I was looking for in an iPhone case","This is exactly what I was looking for in an iPhone case.  Tough enough to protect it against the occasional accident, but slim enough that I can easily slip it in and out of my pocket.  It looks sharp, too.In addition, I have also received several unsolicited compliments on the case.  People will notice it and ask me if they can take a look at it."
"9","XX","B00DMKGPP4","4.0","0","0","December 6, 2013","A20W7DKJGYQMV9","Excellent low-profile case for iphone 5S","Conforms to phone well.  Quality feel, craftsmanship, sophisticated look.  I disagree with reviews that case is too slippery in hand.  I also disagree with reviews that contend this is an otterbox killer.  It is notably thinner than an otterbox defender and not as thoroughly protective, with only a beveled edge to protect the front screen and a thin back cover.  The best protection is on the corners.  However this case is more aesthetically pleasing than any otterbox case.  The gold color matches the phone perfectly.  The gold portion accumulates slight scratches but it does not excessively detract from overall appearance.  The tactile feedback from the power buttons and volume controls is very good.  Some reviewers may wish to know the cutout at the bottom of the phone is large enough to accomodate the Apple lightning-to-30-pin connector cable for those that need to connect to 30-pin stereo docks, old chargers, car stereos, etc.  I have dropped the phone in the case from waist height onto hardwood and it did not sustain any apparent damage.  Nonetheless, 4 stars because I still have some trepidation about the case protecting against hard falls or heavy wear-and-tear.  Balancing the numerous pros and minor cons, I would buy this case again."
